Marco_Margarita_Right_1.c3d  



Time(s):	C_L_bicipite(μV):
0.5115	-24.77417
0.512	-23.46497
0.5125	-15.40833
0.513	-8.7616
0.5135	-8.45947
0.514	-5.94177
0.5145	-4.83398
0.515	-0.20142
0.5155	-1.00708
0.516	-7.45239
0.5165	1.10779
0.517	1.91345
0.5175	6.44531
0.518	2.92053
0.5185	3.7262
0.519	16.71753
0.5195	19.94019
0.52	29.60815
0.5205	43.00232
0.521	69.58923
0.5215	91.04004
0.522	88.11951
0.5225	85.90393
0.523	70.09277
0.5235	56.49719
0.524	39.07471
0.5245	19.73877
0.525	-2.71912
0.5255	-21.75293
0.526	-31.32019
0.5265	-40.1825
0.527	-56.79932
0.5275	-64.35242
0.528	-64.25171
0.5285	-69.38782
0.529	-62.9425
0.5295	-62.23755
0.53	-51.15967
0.5305	-39.77966
0.531	-30.51453
0.5315	-23.56567
0.532	-12.78992
0.5325	-3.32336
0.533	-6.84814
0.5335	-1.61133
0.534	11.38
0.5345	24.27063
0.535	27.29187
0.5355	26.48621
0.536	33.83789
0.5365	31.4209
0.537	25.07629
0.5375	19.94019
0.538	17.12036
0.5385	10.47363
0.539	7.85522
0.5395	5.0354
0.54	5.74036
0.5405	2.01416
0.541	5.13611
0.5415	3.32336
0.542	11.58142
0.5425	13.09204
0.543	9.76868
0.5435	18.73169
0.544	18.73169
0.5445	16.41541
0.545	17.82532
0.5455	23.06213
0.546	18.53027
0.5465	18.73169
0.547	15.71045
0.5475	10.97717
0.548	11.98425
0.5485	13.49487
0.549	9.06372
0.5495	7.5531
0.55	6.84814
0.5505	7.25098
0.551	7.35168
0.5515	3.7262
0.552	5.63965
0.5525	6.2439
0.553	8.15735
0.5535	23.96851
0.554	26.18408
0.5545	19.33594
0.555	13.19275
0.5555	4.73328
0.556	3.32336
0.5565	-5.53894
0.557	-18.42957
0.5575	-17.82532
0.558	-23.06213
0.5585	-31.82373
0.559	-28.09753
0.5595	-22.76001
0.56	-26.18408
0.5605	-18.22815
0.561	-17.01965
0.5615	-12.18567
0.562	-15.91187
0.5625	-10.37292
0.563	-6.14319
0.5635	-2.11487
0.564	1.71204
0.5645	-0.70496
0.565	-5.84106
0.5655	1.10779
0.566	5.43823
0.5665	2.31628
0.567	1.3092
0.5675	11.88354
0.568	4.63257
0.5685	11.98425
0.569	17.12036
0.5695	17.32178
0.57	19.63806
0.5705	14.90479
0.571	12.28638
0.5715	9.36584
0.572	6.04248
0.5725	6.3446
0.573	11.78284
0.5735	14.30054
0.574	20.54443
0.5745	17.82532
0.575	26.3855
0.5755	25.78125
0.576	22.45789
0.5765	21.55151
0.577	11.2793
0.5775	5.33752
0.578	1.00708
0.5785	-4.12903
0.579	-6.44531
0.5795	-9.16443
0.58	-8.8623
0.5805	-8.15735
0.581	-1.10779
0.5815	7.85522
0.582	25.07629
0.5825	37.46338
0.583	34.74426
0.5835	30.01099
0.584	25.57983
0.5845	23.56567
0.585	20.84656
0.5855	25.07629
0.586	17.52319
0.5865	10.57434
0.587	17.42249
0.5875	41.79382
0.588	64.45312
0.5885	78.45154
0.589	70.59631
0.5895	56.19507
0.59	43.50586
0.5905	24.67346
0.591	9.26514
0.5915	-9.86938
0.592	-24.97559
0.5925	-37.16125
0.593	-51.26038
0.5935	-66.16516
0.594	-67.57507
0.5945	-65.05737
0.595	-72.00623
0.5955	-69.08569
0.596	-68.38074
0.5965	-59.1156
0.597	-54.38232
0.5975	-42.8009
0.598	-27.09045
0.5985	-18.42957
0.599	-7.5531
0.5995	1.10779
0.6	-2.41699
0.6005	6.74744
0.601	14.40125
0.6015	8.66089
0.602	11.48071
0.6025	8.8623
0.603	18.93311
0.6035	17.52319
0.604	18.42957
0.6045	14.30054
0.605	13.09204
0.6055	2.41699
0.606	9.66797
0.6065	7.25098
0.607	8.8623
0.6075	10.67505
0.608	10.0708
0.6085	4.33044
0.609	5.33752
0.6095	6.74744
0.61	0.30212
0.6105	-1.10779
0.611	-5.74036
0.6115	-6.2439
0.612	0.80566
0.6125	0.70496
0.613	-2.01416
0.6135	1.2085
0.614	4.83398
0.6145	8.56018
0.615	6.74744
0.6155	5.63965
0.616	8.45947
0.6165	18.8324
0.617	30.11169
0.6175	63.34534
0.618	106.44836
0.6185	125.68359
0.619	115.61279
0.6195	102.92358
0.62	87.21313
0.6205	80.86853
0.621	84.59473
0.6215	80.66711
0.622	66.6687
0.6225	35.34851
0.623	6.64673
0.6235	-25.57983
0.624	-47.23206
0.6245	-70.99915
0.625	-83.99048
0.6255	-92.85278
0.626	-90.23438
0.6265	-96.7804
0.627	-94.16199
0.6275	-86.00464
0.628	-79.15649
0.6285	-71.60339
0.629	-60.82764
0.6295	-46.02356
0.63	-35.2478
0.6305	-29.00391
0.631	-22.55859
0.6315	-19.03381
0.632	-10.27222
0.6325	-3.92761
0.633	8.56018
0.6335	10.57434
0.634	7.75452
0.6345	7.04956
0.635	7.85522
0.6355	16.11328
0.636	22.55859
0.6365	20.84656
0.637	16.71753
0.6375	15.91187
0.638	12.48779
0.6385	13.29346
0.639	4.02832
0.6395	5.74036
0.64	9.66797
0.6405	8.35876
0.641	3.32336
0.6415	6.04248
0.642	8.96301
0.6425	7.15027
0.643	3.8269
0.6435	10.0708
0.644	3.42407
0.6445	4.02832
0.645	4.12903
0.6455	3.22266
0.646	10.27222
0.6465	10.0708
0.647	1.00708
0.6475	2.81982
0.648	5.74036
0.6485	12.08496
0.649	10.17151
0.6495	12.18567
0.65	8.7616
0.6505	7.5531
0.651	6.2439
0.6515	11.58142
0.652	3.52478
0.6525	5.94177
0.653	4.63257
0.6535	4.02832
0.654	3.7262
0.6545	9.36584
0.655	7.85522
0.6555	14.09912
0.656	8.25806
0.6565	9.26514
0.657	14.80408
0.6575	14.19983
0.658	6.54602
0.6585	8.96301
0.659	6.54602
0.6595	12.5885
0.66	9.66797
0.6605	2.11487
0.661	6.44531
0.6615	9.06372
0.662	1.2085
0.6625	-2.21558
0.663	1.2085
0.6635	-0.30212
0.664	0.80566
0.6645	3.7262
0.665	2.92053
0.6655	-4.93469
0.666	4.33044
0.6665	5.74036
0.667	9.46655
0.6675	10.37292
0.668	6.84814
0.6685	17.82532
0.669	20.64514
0.6695	24.47205
